( 0; 250; 30.1303; 250; 10; d[3];[R121,142[R412,129[R315,423]]])
(0;250;6.4545;250;100;-1;[R1,14[R4,9[R5,4]]])
( 0; 250; 0.3437; 250;-1;d[10,19];[R1,14][R4,9][R5,4])
( 0; 250; 0.1022; 250;-1;-1;-1 )
( 0; 250; 5.7349; 250;-1;-1;-1 )
( 0; 250; 5.7557; 250;-1;-1;-1 )
( 0; 250; 5.7974; 250;-1;-1;-1 )
( 0; 250; 5.8807; 250;-1;-1;-1 )
( 0; 250; 6.0472; 250;-1;-1;-1 )
( 0; 250; 4.3071; 250;-1;-1;-1 )
( 0; 250; 7.7672; 250;-1;-1;-1 )
( 0; 250; 14.6875; 250;-1;-1;-1 )
( 0; 250; 7.183; 250;-1;-1;-1 )
( 0; 250; 7.3999; 250;-1;-1;-1 )
( 0; 250; 7.8337; 250;-1;-1;-1 )
( 0; 250; 8.7012; 250;-1;-1;-1 )
( 0; 250; 8.7012; 250;-1;-1;-1 )
( 0; 250; 8.1264; 250;-1;-1;-1 )
( 0; 250; 8.1264; 250;-1;-1;-1 )
( 0; 250; 8.4815; 250;-1;-1;-1 )
( 0; 250; 9.1918; 250;-1;-1;-1 )
( 0; 250; 9.1918; 250;-1;-1;-1 )
( 0; 250; 3.217; 250;-1;-1;-1 )
( 0; 250; 3.5179; 250;-1;-1;-1 )
( 0; 250; 3.6363; 250;-1;-1;-1 )
( 0; 250; 5.1914; 250;-1;-1;-1 )
( 0; 250; 0.1496; 250;-1;-1;-1 )
( 0; 500; 3.3671; 500;-1;-1;-1 )
( 0; 500; 3.3671; 500;-1;-1;-1 )
( 0; 500; 3.3671; 500;-1;-1;-1 )
( 0; 500; 3.3671; 500;-1;-1;-1 )
( 0; 500; 3.3671; 500;-1;-1;-1 )
( 0; 2000; 3.1913; 2000;-1;-1;-1 )
( 0; 2000; 5.1122; 2000;-1;-1;-1 )
( 0; 2000; 0.5047; 2000;-1;-1;-1 )
( 0; 2000; 0.5906; 2000;-1;-1;-1 )
( 0; 6000; 2.4799; 6000;-1;-1;-1 )
( 0; 6000; 0.199; 6000;-1;-1;-1 )
( 0; 6000; 0.6898; 6000;-1;-1;-1 )
